timestamp,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,mag_phone_x,mag_phone_y,mag_phone_z,acc_watch_x,acc_watch_y,acc_watch_z,label:LYING_DOWN,label:SITTING,label:FIX_WALKING,label:BICYCLING,label:STANDING,label:EXERCISE
2015-08-19 16:07:35,-0.027821,0.025006,-1.002564,0.002099,-0.007737000000000002,0.043084,-286.319909,-41.935078,-193.530572,,,,0.0,1.0,0.0,0.0,0.0,0.0
2015-08-19 16:08:35,-0.077047,0.021874,-0.998976,0.000155,0.000238,-0.000539,-245.80785,-43.033833,-191.179804,,,,0.0,1.0,0.0,0.0,0.0,0.0
2015-08-19 16:09:35,-0.076462,0.021668,-0.998973,-0.000264,-0.000161,-2.5e-05,-245.783351,-40.400495,-190.784218,,,,0.0,1.0,0.0,0.0,0.0,0.0
2015-08-19 16:10:35,-0.073926,0.02227,-0.998945,-0.000161,-0.000105,-2.4e-05,-245.615757,-40.35230900000001,-190.763551,,,,0.0,1.0,0.0,0.0,0.0,0.0
2015-08-19 16:11:35,-0.07711799999999999,0.021671,-1.0020209999999998,-7.900000000000001e-05,0.0004860000000000001,-0.002477,-245.917773,-50.007738,-190.94287,,,,0.0,1.0,0.0,0.0,0.0,0.0
2015-08-19 16:12:36,-0.027316000000000003,0.021589,-1.004386,1e-06,-0.000286,-0.0001,-236.496506,-58.939524,-188.641578,,,,0.0,1.0,0.0,0.0,0.0,0.0
2015-08-19 16:13:36,-0.026417000000000003,0.020758,-1.0021790000000002,0.000111,-4.9e-05,-6.8e-05,-241.292346,-66.406735,-189.3075,,,,0.0,1.0,0.0,0.0,0.0,0.0
2015-08-19 16:14:36,-0.02572,0.022409,-1.002026,-0.000199,0.000429,0.000188,-241.805101,-65.739704,-189.317311,,,,0.0,1.0,0.0,0.0,0.0,0.0
2015-08-19 16:15:36,-0.026658,0.023549,-1.001702,-0.0005070000000000001,-8.4e-05,-0.000454,-242.15525,-65.841044,-188.082119,,,,0.0,1.0,0.0,0.0,0.0,0.0
2015-08-19 16:16:36,-0.023615,0.024897,-1.001995,0.000182,-3.3e-05,0.00013700000000000002,-242.100614,-65.495752,-188.955542,,,,0.0,1.0,0.0,0.0,0.0,0.0
2015-08-19 16:17:36,-0.025448,0.023237,-1.002063,-0.00013700000000000002,8.499999999999999e-05,0.000147,-241.730519,-67.677488,-189.220449,,,,0.0,1.0,0.0,0.0,0.0,0.0
2015-08-19 16:18:36,-0.024151,0.023669,-1.002832,-0.000136,0.000579,-0.000134,-236.186902,-57.332338,-188.530521,,,,0.0,1.0,0.0,0.0,0.0,0.0
2015-08-19 16:19:35,-0.021711,0.023439,-1.001937,0.00031600000000000004,-0.000198,-0.000126,-228.542827,-17.317567999999998,-181.38261,32.672,80.256,-982.352,0.0,1.0,0.0,0.0,0.0,0.0
2015-08-19 16:20:35,-0.022314,0.022816,-1.001666,-0.000174,6e-06,-0.003249,-232.542757,-29.004127,-187.701772,92.78399999999999,88.19200000000002,-976.448,0.0,1.0,0.0,0.0,0.0,0.0
2015-08-19 16:21:35,-0.021637,0.025512,-1.001666,0.000246,-0.000242,0.000177,-237.376972,-56.504977,-188.931953,2.8480000000000003,28.784000000000002,-999.056,0.0,1.0,0.0,0.0,0.0,0.0
2015-08-19 16:22:35,-0.021461,0.025515,-1.0013610000000002,8.7e-05,-0.000302,-7.8e-05,-237.256209,-55.974075,-188.962222,-36.128,0.6559999999999999,-981.6160000000001,0.0,1.0,0.0,0.0,0.0,0.0
2015-08-19 16:23:35,-0.023153,0.027005,-1.0012299999999998,-7.000000000000003e-06,0.00012,0.00011,-237.268567,-54.429768,-188.790836,1.376,26.208000000000002,-998.592,0.0,1.0,0.0,0.0,0.0,0.0
2015-08-19 16:24:35,-0.023716,0.018924,-1.001628,-4.3e-05,-0.000102,-6.7e-05,-252.768105,-48.12743,-189.712062,-14.288,-80.624,-948.2080000000001,0.0,1.0,0.0,0.0,0.0,0.0
2015-08-19 16:25:35,-0.021409,0.01416,-1.002665,-0.000474,0.000545,-0.004069,-268.761979,-46.423658,-190.976897,13.024000000000001,27.568,-1000.72,0.0,1.0,0.0,0.0,0.0,0.0
2015-08-19 16:26:35,-0.020351,0.020403,-1.002123,5.1e-05,-0.000452,0.00011,-269.548564,-48.490225,-189.755275,8.943999999999997,31.136,-1000.8,0.0,1.0,0.0,0.0,0.0,0.0
2015-08-19 16:27:35,-0.02195,0.019158,-1.001339,0.000177,-0.000388,0.000111,-269.717892,-48.452843,-190.176329,-47.456,-114.416,-923.5360000000001,0.0,1.0,0.0,0.0,0.0,0.0
2015-08-19 16:28:35,-0.018052,0.017487,-1.0014459999999998,-8.7e-05,0.000395,0.000133,-269.934703,-47.575568,-190.021852,-112.704,-216.112,-943.216,0.0,1.0,0.0,0.0,0.0,0.0
2015-08-19 16:29:35,-0.018736000000000003,0.017953999999999998,-1.0013040000000002,0.00014,-0.000226,0.00016,-270.06782400000003,-47.689657,-189.784709,19.28,-91.552,-935.072,0.0,1.0,0.0,0.0,0.0,0.0
2015-08-19 16:30:35,-0.020428,0.016406999999999998,-1.001706,-0.000443,-0.000164,0.001254,-268.61129500000004,-46.197425,-190.266928,,,,0.0,1.0,0.0,0.0,0.0,0.0
2015-08-19 16:31:35,-0.019914,0.016918,-1.001201,-0.000248,7.4e-05,0.00015800000000000002,-267.770723,-45.97897,-189.9419,,,,,,,,,
2015-08-19 16:32:35,-0.130898,-0.086769,-0.966296,-0.017244,0.002379,0.030343,-289.095946,-86.16660300000002,-182.055004,,,,,,,,,
2015-08-19 16:33:35,-0.067726,-0.208425,-0.8882760000000001,-0.00808,-0.017998,0.002431,-259.636437,-92.121919,-162.454143,,,,0.0,0.0,1.0,0.0,0.0,0.0
2015-08-19 16:34:40,-0.029078,-0.269065,-0.929087,0.010045,-0.017672999999999998,-0.071265,-264.058713,-96.675755,-154.625279,,,,0.0,0.0,1.0,0.0,0.0,0.0
2015-08-19 16:35:40,-0.553722,-0.104772,-0.460242,0.039996,0.029399,0.07265,-272.207956,-78.687075,-157.98056499999996,,,,0.0,0.0,1.0,0.0,0.0,0.0
